emission wavelength (nm),Normalized emission
710.3469,0.0758951830854352
711.6321,0.0687931249335784
712.9174,0.0652596252498937
714.203,0.0581007482070845
715.4889,0.0531384339188272
716.7749,0.0484974589762122
718.0613,0.0468229982743159
719.3478,0.0430253764458095
720.6346,0.0417497401643395
721.9217,0.0375427788561071
723.209,0.0348033768071901
724.4965,0.0347816124302091
725.7842,0.0343327401212504
727.0723,0.031260299124598
728.3605,0.0308028269323118
729.649,0.0305087283979741
730.9377,0.0277156347973222
732.2266,0.0270435841962264
733.5159,0.0238719404603493
734.8053,0.0261124973206516
736.095,0.0234598196326988
737.3849,0.0219501487139374
738.675,0.0207398030531953
739.9655,0.0229325277340828
741.2561,0.019886584374385
742.5469,0.016772102928834
743.8381,0.0173599237940465
745.1295,0.0131696035457773
746.421,0.0135143795075969
747.7129,0.01117032073514
749.0049,0.00819218994658161
750.2972,0.00872992537158557
751.5898,0.00678347665847095
752.8826,0.0057746480318764
754.1757,0.00251652977580551
755.4689,0.00311019092817604
756.7625,0.00210526147247748
758.0562,0.000546875291150504
759.3502,0.000513896738642415
760.6444,0
761.9388,0.000365221988363167
763.2336,0
764.5286,0
765.8237,0
767.1191,0
768.4148,0
769.7108,0
771.007,0
772.3033,0
773.6,0
774.8969,0
776.194,0
777.4912,0
778.7888,0
780.0867,0
781.3848,0
782.6831,0
783.9816,0
785.2804,0
786.5794,0
787.8787,0
789.1782,0
790.4779,0
791.778,0
793.0781,0
794.3786,0
795.6793,0
796.9802,0
798.2814,0
799.5829,0
